,id,Sentence,Aspect Term,Polarity,Category
5174,3226,Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,glasses of wine,positive,Restaurant
572,1080,"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",HDD,positive,Laptop
3328,813,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,positive,Restaurant
592,3064,The price is another driving influence that made me purchase this laptop.,price,positive,Laptop
5014,3265,"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",portions,negative,Restaurant
3062,2335,Prices are higher to dine in and their chicken tikka marsala is quite good.,Prices,negative,Restaurant
5870,1326,They treated us well and the food was extremely fresh and well-prepared.,food,positive,Restaurant
2374,296,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,neutral,Restaurant
3064,3631,This place has many different styles of pizza and they are all amazing.,styles of pizza,positive,Restaurant
5673,3095,"The palak paneer was standard, and I was not a fan of the malai kofta.",palak paneer,neutral,Restaurant
4367,764,I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.,Chicken Teriyaki dish,negative,Restaurant
5922,1808,"however, it's the service that leaves a bad taste in my mouth.",service,negative,Restaurant
4233,2332,Great food and the prices are very reasonable.,prices,positive,Restaurant
2208,2258,", Applications respond immediately (not like the tired MS applications).",Applications,positive,Laptop
4914,621,The entertainment was great they have shows that go on through out the dinner.,entertainment,positive,Restaurant
2492,2274,"Though the Spider Roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,positive,Restaurant
3975,2808,"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",waitstaff,positive,Restaurant
383,1375,That system is fixed.,system,neutral,Laptop
852,2506,"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iLife,positive,Laptop
1880,653,It played various games without problems and ran aero smoothly and flawlessly.,aero,neutral,Laptop
370,2969,The laptop was very easy to set up.,set up,positive,Laptop
4356,2160,They have a huge selection of different cream cheeses and all of their salads are great.,cream cheeses,positive,Restaurant
4266,255,My chow fun and chow see was really bland and oily.,chow fun and chow see,negative,Restaurant
5246,3438,The service is good and ambience is good for a date or group outing.,service,positive,Restaurant
5649,3672,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,staff,negative,Restaurant
6008,3511,"A gentleman, maybe the manager, came to our table, and without so much as a smile or greeting asked for our order.",table,neutral,Restaurant
1105,2705,Registration/1st use is easy.,use,positive,Laptop
3710,408,The rice to fish ration was also good--they didn't try to overpack the rice.,rice,positive,Restaurant
2361,1634,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,positive,Restaurant
4860,1597,"Quality ingredients preparation all around, and a very fair price for NYC.",ingredients,positive,Restaurant
1336,1179,"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.",Appleworks,negative,Laptop
2189,2455,"The acer one computer that I bought is 17 ince screen and its hard to find lap top bags for it, but I like the big screen on it.",screen,positive,Laptop
5547,3520,There is actually space to breathe and the decor sets the tone for an intimate dinner.,decor,positive,Restaurant
5448,3355,"- for dessert we split chocolate cake and vanilla gelato (with espresso), which were tasty, but I thought a bit overpriced.",chocolate cake,conflict,Restaurant
3357,1948,"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",food,positive,Restaurant
2246,2573,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",Windows 7 Starter,neutral,Laptop
4152,2990,My steak au poivre was one of the worst I've had.,steak au poivre,negative,Restaurant
5860,2712,I have been about 4 times and have always had a great meal.,meal,positive,Restaurant
1171,1909,  They replaced my hard drive as well as my mother board.,mother board,neutral,Laptop
3274,710,"It's not mind-blowing, but to me, thai food never is and never will be.",thai food,neutral,Restaurant
5643,2146,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",staff,positive,Restaurant
3880,1054,"But they don't have a toaster, which is strange.",toaster,negative,Restaurant
1422,2674,One drawback I noticed was sound quality via USB.,sound quality via USB,negative,Laptop
2686,3541,They didn't give us the dinner special until we asked for it.,dinner special,negative,Restaurant
5425,3595,It was so bad I actually refused to pay for my food.,food,negative,Restaurant
3382,2621,"No refills on fountain drinks, though.",fountain drinks,negative,Restaurant
4294,1296,They charge different prices all the time.,prices,negative,Restaurant
5013,2336,Ambiance is barely romantic but management tries.,management,positive,Restaurant
1464,486,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",speakers,positive,Laptop
874,1348,in May I started having problems with the USB ports not working.,USB ports,negative,Laptop
2297,2106,It had most of the features and all of the power that I wanted to replace my desktop machine.,features,positive,Laptop
2643,141,This dish is my favorite and I always get it when I go there and never get tired of it.,dish,positive,Restaurant
3365,2986,"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts.",owners,positive,Restaurant
5857,937,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,SERVICE,negative,Restaurant
1251,293,Do yourself a favor and invest in a few external harddrives if you are planning on purchasing this laptop.,external harddrives,negative,Laptop
3422,1439,They even have a section in the menu called American Chinese food!,American Chinese food,negative,Restaurant
840,204,The screen resolution was exactly what I was looking for.,screen resolution,positive,Laptop
4794,2593,"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.",Italian cheese,positive,Restaurant
581,2238,and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,negative,Laptop
204,2385,I've been impressed with the battery life and the performance for such a small amount of memory.,performance,positive,Laptop
1641,608,can't reinstall with standard os cd because of proprietary hardware drivers.,standard os cd,negative,Laptop
2014,963,"  Another THREE weeks later I had my laptop back with a new mousepad, keys, and casing.",keys,neutral,Laptop
3253,1487,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,garlic,positive,Restaurant
905,2219,"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",buttons,neutral,Laptop
631,2387,"Screen is awesome, battery life is good.",battery life,positive,Laptop
4279,1018,"sometimes i get bad food and bad service, sometimes i get good good and bad service.",food,negative,Restaurant
3697,359,"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.",pizza,positive,Restaurant
1974,2621,"I upgraded it's RAM to 2GB, I am very happy with it.",RAM,positive,Laptop
162,1427,"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",sales,positive,Laptop
4339,1747,Wait staff is blantently unappreciative of your business but its the best pie on the UWS!,pie,positive,Restaurant
4684,189,"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.",food,negative,Restaurant
5433,2590,"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",food,positive,Restaurant
3580,736,This place is a great stop for great food.,food,positive,Restaurant
617,523,I guess the only good thing that came out of these were the speakers and the subwoofer.,speakers,positive,Laptop
875,675,10 plus hours of battery...,battery,positive,Laptop
1431,3065,"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",budget,positive,Laptop
2973,2905,i don't usually order wine with indian so i can't comment on their wine list or their wines.,wines,neutral,Restaurant
4221,1015,A cool place to hang with your friends for a couple of healthy drinks and desserts.,place,positive,Restaurant
547,453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",school or office use,neutral,Laptop
4458,1585,I REALLY ENJOYED THE SHOWS PUT ON BY THE ACTORS.,SHOWS,positive,Restaurant
5494,1748,Great pizza and fantastic service.,service,positive,Restaurant
5696,917,Service was also very good.,Service,positive,Restaurant
5729,969,"Light, refreshing summer rolls (not fried) remind me of Vietnamese places in Paris.",summer rolls,positive,Restaurant
3834,2414,"The Pad thai, lad nar and various other dishes all look good on paper but, I've had better thai food in less asthetically pleasing places.",dishes,conflict,Restaurant
3574,3261,Try the spicy wontons and the salt pepper shrimps.,salt pepper shrimps,positive,Restaurant
4930,110,"If anyones has doubt of not knowing enough about wines,please check their wine list.",wines,neutral,Restaurant
2856,2222,Went there and had a combination of different seafood dishes and appetizers.,appetizers,neutral,Restaurant
1861,1369,This is a review of windows vista system.,windows vista system,neutral,Laptop
2659,1535,"They might be all business at the counter when you give your order, but their food says I love you.",counter,negative,Restaurant
5550,1902,"My husband and I both ordered the Steak, medium.",Steak,neutral,Restaurant
640,2231,"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",look,positive,Laptop
5954,1038,"The service was mediocre, and the lack of air conditioning made for a less than comfortable meal.",air conditioning,negative,Restaurant
1009,496,"Setting would change for some reason, the screen size would change on it's own, like the pixel sizes and whatnot.",Setting,negative,Laptop
5912,292,I went with 5 friends and we lingered at the table for a bit and didn't feel rushed at all even though there was a wait.,wait,negative,Restaurant
637,1602,"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",case,positive,Laptop
3794,2204,"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",service,positive,Restaurant
4939,1226,you can actually get 2 salads worth if u take it home and add it to some lettuce!,salads,negative,Restaurant
4540,3527,The food is nothing like its menu description.,menu description,negative,Restaurant
2308,1707,"I love this program, it is superior to windows movie maker.",windows movie maker,negative,Laptop
4747,3139,"Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.",dim sum,neutral,Restaurant
3145,193,The food is great and reasonably priced.,priced,positive,Restaurant
3852,3084,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",bombay style chaat,positive,Restaurant
2096,2692,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".","15""",neutral,Laptop
5247,3438,The service is good and ambience is good for a date or group outing.,ambience,positive,Restaurant
1956,2101,Which is great I am running Vista Business and scored a 5.X on the index I have never seen a windows machine have a total score in the 5's.,Vista Business,positive,Laptop
1372,1598,"I was a little weary at purchasing another 13"" macbook almost 2 years later but t looks like the newer macbooks have gotten its current line of graphics cards in order this time around.",graphics cards,positive,Laptop
5588,1701,Winnie and her staff are the best crew you can find serving you.,staff,positive,Restaurant
921,1710,"The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.",runs,positive,Laptop
546,453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",Keynote,neutral,Laptop
1449,1076,System is loosing about 20% of performance because of that.,performance,negative,Laptop
2804,1542,As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,manager,negative,Restaurant
2610,603,The service was attentive and her suggestions of menu items was right on the mark.,menu items,positive,Restaurant
1900,2867,It has easy to use features and all the speed and power I could ask for.,power,positive,Laptop
2757,3650,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",gin and tonic,neutral,Restaurant
2028,1799,(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.),SATA controller,neutral,Laptop
2301,617,"No luck, although I waited for hours on the phone-Visited MacHouse, they stated the their call center is down due to too many phonecalls (difficult to believe).",call center,negative,Laptop
1885,1730,"Its small enough where I can take it pretty much anywhere, but still has a big enough screen to get everything done.",screen,positive,Laptop
1642,608,can't reinstall with standard os cd because of proprietary hardware drivers.,proprietary hardware drivers,negative,Laptop
972,2155,"The speed gives you the power to work on these projects seamlessly, and multiple at a time if you sowish.",speed,positive,Laptop
5812,1534,"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.",pastrami on challah sandwich,positive,Restaurant
2097,2692,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".","17""",neutral,Laptop
5250,1870,Fast service.,service,positive,Restaurant
5313,702,"We love the food, drinks, and atmosphere!",atmosphere,positive,Restaurant
5432,2590,"I love when restaurants think using fancy expensive ingrediants makes the food fine cuisine, even with no idea how to use them.",cuisine,positive,Restaurant
6009,2114,"we were tired and cold when we got to the restaurant, then we sat down to begin ordering appetizers.",appetizers,neutral,Restaurant
836,2032,"The processor went on me, the fan went and the motherboard went.",fan,negative,Laptop
601,1373,"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",windows,neutral,Laptop
2184,2235,also it comes with very useful applications like iphoto that it is the best photo application i have ever had,applications,positive,Laptop
4806,2436,"Delicate spices, onions, eggs and a kick-ass roti.",onions,positive,Restaurant
3583,369,"We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel.",dessert menu,neutral,Restaurant
5189,1931,Truly the mark of an attentive waiter.,waiter,positive,Restaurant
1582,2627,It's also fairly easy to use the Operating System.,Operating System,positive,Laptop
5141,2644,The barebecued salmon is elegantly spiced and not at all dry.,barebecued salmon,positive,Restaurant
3650,700,"For the price, you cannot eat this well in Manhattan.",price,positive,Restaurant
4840,3098,go here for the drinks!,drinks,positive,Restaurant
1070,1190,"Maybe this is virus related, maybe not, but the computer has locked up many times, and on two occasions, the screen has simply gone black.",screen,negative,Laptop
1775,1659,"Garageband is easy to work with, like all the other apple applications I've had experience with.",Garageband,positive,Laptop
5811,3590,"great food, lt's of it, more then one person can eat!",food,positive,Restaurant
1283,102,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",processor,positive,Laptop
5027,364,"After the main course came, we didn't see our waiter for at least 40 MINUTES!",main course,neutral,Restaurant
5880,739,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",food,negative,Restaurant
5746,527,"Great spot, whether looking for a couple of drinks or quiet dinner.",drinks,positive,Restaurant
1836,1216,Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,connection card,neutral,Laptop
5113,1631,The wine list is extensive and can easily hike up an otherwise reasonably priced meal.,meal,positive,Restaurant
1019,745,"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",software,negative,Laptop
970,2509,"Not only are the versions of these programs able to be saved, worked on and opened on both a PC and Mac, the versions of these programs on a Mac are graphically and functionally superior.",programs,positive,Laptop
1326,87,It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.,operate,positive,Laptop
5814,1534,"I didn't expect to like Nosh as much as I did, but the pastrami on challah sandwich I had was otherworldly, the soups are like Mom's, and the knishes give Yonah Schimmel's a run for its money.",knishes,positive,Restaurant
475,3016,"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",multi-touch features,positive,Laptop
2810,504,"Decor is nice and minimalist, food simple yet very well presented and cooked, and the wine list matches the food very well.",food,neutral,Restaurant
4531,509,Service was very good and warm.,Service,positive,Restaurant
1651,2581,Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,features,neutral,Laptop
5614,3666,Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,bar,neutral,Restaurant
5459,314,"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",oysters,positive,Restaurant
2528,858,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,negative,Restaurant
3759,2495,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.",Thai food,positive,Restaurant
3573,3261,Try the spicy wontons and the salt pepper shrimps.,spicy wontons,positive,Restaurant
3940,750,The food was well prepared and the service impecable.,service,positive,Restaurant
1373,267,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,bluray player,neutral,Laptop
739,300,"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",MSN Messenger,neutral,Laptop
5566,517,"Three page wine menu, one page entree and horedevous.",entree,positive,Restaurant
3523,1930,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",waiter,positive,Restaurant
867,107,My laptop now has no battery.,battery,negative,Laptop
2974,491,Pastrami or corned beef are juicy and piled high (ask for extra rye bread).,Pastrami or corned beef,positive,Restaurant
1140,1587,It is in the best condition and has a really high quality.,quality,positive,Laptop
997,2466,I love the keyboard.,keyboard,positive,Laptop
1337,1179,"First, you ll discover that the word processing program known as  Appleworks  rarely translates perfectly on anyone else s computer, if it translates at all.",word processing program,negative,Laptop
541,453,"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",movie-making,neutral,Laptop
1099,2100,"I run windows via bootcamp for the couple programs I do not want to buy a mac version of, like my cad programs.",windows,neutral,Laptop
1132,2727,Tried to make a recovey disk wouldnt get passed the first recovery disk.,recovery disk,negative,Laptop
5865,41,Horrible food and Horrible service.,service,negative,Restaurant
3915,2064,we split a tasty vegetable samosa and the malai tikka wrap.,vegetable samosa,positive,Restaurant
2258,667,The battery is really long.,battery,positive,Laptop
4882,2418,"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful.",paratha bread,positive,Restaurant
3390,2522,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,bread,negative,Restaurant
2962,511,"Moules were excellent, lobster ravioli was VERY salty!",lobster ravioli,negative,Restaurant
59,463,Spent 2 hours on phone with HP Technical Support.,HP Technical Support,neutral,Laptop
3259,1868,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",ice cream,positive,Restaurant
2206,1771,It is easy to navigate and update programs.,update programs,neutral,Laptop
1938,2809,"I love windows 7 but i can't give Toshiba any credit for that, unless y'all get serious about ergonomics and making required connections less obtrusive i will be looking to different manufacturer next time.",connections,negative,Laptop
3718,2251,I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,thai cuisine,positive,Restaurant
5974,802,"One of my favorites though was the Angry Lobster, a cold lobster salad that was magnificent.",cold lobster salad,positive,Restaurant
3460,1866,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",dessert wine,positive,Restaurant
2813,1853,"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",price,neutral,Restaurant
5233,89,"The service was attentive, yet unimposing, the food was far better than many notorious restaurants in Midtown and the wine list is extensive and well priced.",priced,positive,Restaurant
5374,2989,We didn't get drink refills and she didn't even offer us the option of dessert.,drink refills,negative,Restaurant
1078,2359,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",screen,positive,Laptop
6047,671,"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",meats,neutral,Restaurant
5549,2263,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,positive,Restaurant
4307,1886,The service was ok.,service,neutral,Restaurant
3785,3667,"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",price,positive,Restaurant
5139,3167,"Their bagels are fine, but they are a little overcooked, and not really a 'special' bagel experience.",bagel,neutral,Restaurant
2630,1554,"A narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,negative,Restaurant
4839,3267,"If you are someone who appreciates the same things but hope to have food to spare or share, Kai may not be the best option.",food,neutral,Restaurant
4562,1665,Drinks way over priced.,Drinks,negative,Restaurant
3589,1727,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",in-house lady DJ,positive,Restaurant
940,2531,Love the stability of the Mac software and operating system.,stability,positive,Laptop
1080,2839,the mouse jumps around all the time and it clicks stuff i dont want it too.,mouse,negative,Laptop
187,2938,I wish the volume could be louder and the mouse didnt break after only a month.,volume,negative,Laptop
3793,1621,Go to Volare for 1st class service and terrific food.,food,positive,Restaurant
4166,218,"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",waitstaff,positive,Restaurant
2085,859,"Its not just slow on the internet, its slow in general.",internet,negative,Laptop
2249,1996,"I am not sure if it was the drive itself, however;",drive,neutral,Laptop
5000,2006,"The service was attentive, yet discreet.",service,positive,Restaurant
5918,705,"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",portions,positive,Restaurant
2023,2583,the screen brightness automatically adjusts.,screen brightness,neutral,Laptop
4163,812,The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,food,positive,Restaurant
1492,1047,"-4 RAM slots, 2 HDD Bays*, 16GB RAM support -No Wireless Issues, at least for me.",16GB RAM support,neutral,Laptop
4639,3227,IT is the best deal in town for a Monday night dinner at a fine restaurant.,dinner,positive,Restaurant
4103,233,Service was good and food is wonderful.,Service,positive,Restaurant
226,1172,"I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.",sales tax,positive,Laptop
1013,1138,"Ever since I bought this laptop, so far I've experience nothing but constant break downs of the laptop and bad customer services I received over the phone with toshiba customer services hotlines.",customer services,negative,Laptop
2583,2302,"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,positive,Restaurant
1929,2308,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,windows 7 system,negative,Laptop
4250,2457,"And the staff is also young, energeic and hot!!!!",staff,positive,Restaurant
5427,1097,I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.,prices,positive,Restaurant
1404,1419,  I actually contact Toshiba before I started having problem and was given run around after I supplied serial number in order to delay me sending in laptop until after warrenty expired.,warrenty,negative,Laptop
2179,1438,"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",button below the mouse pad,negative,Laptop
697,1372,"  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Adobe Flash player,negative,Laptop
1124,1887,"Returned laptop for repair a 2nd time and it came back with obvious physical damage (keyboard bulging and speaker grill pressed in), buttons not working and USB ports inoperative.",USB ports,negative,Laptop
3282,1273,I love the fact that the pizza tastes so good and is so cheap.,pizza,positive,Restaurant
4034,708,"This place has the best interior I have seen anywhere in the northside of W'burg, and will impress whoever you bring there.",place,positive,Restaurant
4145,1343,"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",jalapeno-lime olive oil,positive,Restaurant
1778,746,"No, tey don't even support their own bios and it ""could be a problem with the bios"" How can a company that makes a fairly decent product get away with such insanity??!!",bios,negative,Laptop
2634,1975,Succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,positive,Restaurant
3091,1056,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,appetizing,positive,Restaurant
5146,2167,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,cream cheese,neutral,Restaurant
1656,2236,"also you may need to charge it once a day, if for medium use every thing fast and easy with mac  the size and look is the most feature that attracted me to it.",charge,neutral,Laptop
1037,19,Everything from the design to the OS is simple and to the point.,OS,positive,Laptop
5034,1088,"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",popcorn topping,neutral,Restaurant
2256,141,"Called Acer many times, they want me to pay the shipping to ship it to their repair center - I was very disappointed since it is a brand new computer!",repair center,neutral,Laptop
3844,2279,"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown.",prices,positive,Restaurant
5980,2243,"Its location is good and the fact that Hutner College is near and their prices are very reasonable, makes students go back to Suan again and again.",location,positive,Restaurant
313,2138,"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",firewall,neutral,Laptop
2649,338,The soup for the udon was soy sauce and water.,soup for the udon,negative,Restaurant
2281,1131,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,hardware,negative,Laptop
4417,2976,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,positive,Restaurant
4322,3442,we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation.,seated,positive,Restaurant
2547,2498,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,positive,Restaurant
1416,2257,Awesome graphics!,graphics,positive,Laptop
1036,19,Everything from the design to the OS is simple and to the point.,design,positive,Laptop
2159,2757,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",looks,positive,Laptop
2984,2627,"The ambience was nice, but service wasn't so great.",ambience,positive,Restaurant
3137,563,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,wait staff,negative,Restaurant
5021,3265,"I must warn the reader that the portions sizes are very small (especially the appetizers), so if you plan to eat until you are full and do not intend to order the chef's special tasting menu, prepare to order and pay for an appetizer (1 dish for each person because the portions are not for sharing), a main entree, and the cold udon at the end of the meal.",dish,negative,Restaurant
1754,8,"Overall, this laptop is definitely a keeper with its simple yet stylish design and its array of fantastic colors to choose from.",colors,positive,Laptop
5973,802,"One of my favorites though was the Angry Lobster, a cold lobster salad that was magnificent.",Angry Lobster,positive,Restaurant
4054,1174,"Although the place could be a little more eye catching and roomier, at the same time, it doesn't really matter.",place,conflict,Restaurant
3889,3059,The appetizers are just OK and the main courses were decidedly subpar.,appetizers,neutral,Restaurant
3694,898,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,bar,negative,Restaurant
2520,2941,good selection of wines ranging from affordable to high end.,selection of wines,positive,Restaurant
873,2735,"Needs longer lasting battery, More than 1 to 2 Hrs.",battery,negative,Laptop
4466,1667,I've read some of the previews reviews - people are either not New Yorkers or have more appreciation for ambience then food.,ambience,neutral,Restaurant
4525,1062,"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",eggs,negative,Restaurant
1506,2868,True quality at a great price!,price,positive,Laptop
4442,3513,"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.",service,negative,Restaurant
1923,676,super fast processor and really nice graphics card..,processor,positive,Laptop
448,2276,"I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.",firewire 800 interface,positive,Laptop
4082,3658,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",back patio,positive,Restaurant
4722,1844,"Everything looks great, the drinks, the decor, the food, even the people.",drinks,positive,Restaurant
6011,1605,I've had pizza both times and the caprese salad appetizer.,caprese salad appetizer,neutral,Restaurant
3700,767,"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",food,negative,Restaurant
3257,1868,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",mesclun,positive,Restaurant
361,1068,"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",Fingerprint reader,negative,Laptop
2183,1858,"The touchpad is extremely sensitive, which is the only drawback.",touchpad,negative,Laptop
